ENIQS_CPU,ENIQS_MEM,ENIQS_IO,Hardware Config Name,Hardware Revision,Hardware Status
1.0,96.0,30.0,HW_CONF16,1.0,0.0
1.0,96.0,45.0,HW_CONF16,1.0,0.0
2.0,96.0,30.0,HW_CONF16,1.0,0.0
2.0,96.0,45.0,HW_CONF16,1.0,0.0
3.0,96.0,30.0,HW_CONF16,1.0,0.0
3.0,96.0,45.0,HW_CONF16,1.0,0.0
4.0,96.0,30.0,HW_CONF16,1.0,0.0
4.0,96.0,45.0,HW_CONF16,1.0,0.0
1.0,256.0,30.0,HW_CONF50,1.0,0.0
1.0,256.0,45.0,HW_CONF50,1.0,0.0
2.0,256.0,30.0,HW_CONF50,1.0,0.0
2.0,256.0,45.0,HW_CONF50,1.0,0.0
3.0,256.0,30.0,HW_CONF50,1.0,0.0
3.0,256.0,45.0,HW_CONF50,1.0,0.0
4.0,256.0,30.0,HW_CONF50,1.0,0.0
4.0,256.0,45.0,HW_CONF50,1.0,0.0
