SWITCH_CPU,SWITCH_MEM,SWITCH_IO,Hardware Config Name,Hardware Revision,Hardware Status
1.0,8.0,30.0,HW_CONF70,1.0,0.0
1.0,8.0,45.0,HW_CONF70,1.0,0.0
2.0,16.0,60.0,HW_CONF72,1.0,0.0
3.0,24.0,75.0,HW_CONF73,1.0,0.0
1.0,8.0,15.0,HW_CONF121,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
